replicate pan_genome core_genome
0 25 19
1 29 16
2 21 19
3 28 19
4 31 16
5 28 19
6 26 17
7 24 22
8 27 19
9 30 18
10 29 18
11 27 20
12 31 18
13 29 19
14 35 14
15 31 16
16 27 18
17 29 17
18 27 16
19 28 18
20 20 24
21 29 18
22 27 19
23 31 16
24 20 23
25 32 17
26 29 17
27 30 16
28 28 19
29 32 15
30 24 20
31 30 18
32 26 20
33 30 18
34 26 20
35 30 19
36 28 17
37 26 19
38 30 15
39 23 19
40 24 20
41 29 18
42 30 19
43 32 16
44 29 19
45 31 16
46 28 19
47 26 20
48 29 18
49 28 18
50 27 19
51 27 21
52 26 22
53 24 22
54 28 17
55 31 17
56 30 19
57 24 21
58 26 21
59 29 19
60 25 16
61 29 18
62 24 21
63 28 17
64 27 19
65 25 18
66 26 20
67 26 18
68 24 21
69 25 21
70 22 22
71 26 20
72 28 18
73 26 19
74 28 19
75 27 17
76 26 21
77 29 18
78 29 18
79 22 21
80 31 16
81 27 18
82 28 20
83 23 23
84 27 18
85 31 17
86 28 15
87 26 19
88 26 19
89 31 18
90 24 22
91 28 17
92 24 20
93 27 20
94 28 18
95 30 17
96 30 17
97 28 17
98 27 20
99 30 17
