replicate pan_genome core_genome
0 23 20
1 28 19
2 27 22
3 31 17
4 28 18
5 28 20
6 28 19
7 30 16
8 27 20
9 34 15
10 28 18
11 26 20
12 26 21
13 31 16
14 30 19
15 31 17
16 27 19
17 26 22
18 30 17
19 31 18
20 31 18
21 28 20
22 26 20
23 27 21
24 31 18
25 31 17
26 30 17
27 28 17
28 31 17
29 29 19
30 30 16
31 28 20
32 30 18
33 25 21
34 31 16
35 32 17
36 32 16
37 25 22
38 33 14
39 28 21
40 27 22
41 28 21
42 32 17
43 29 18
44 27 19
45 28 21
46 28 20
47 28 19
48 27 20
49 27 21
50 24 23
51 27 20
52 29 20
53 22 22
54 28 20
55 36 12
56 25 23
57 29 17
58 31 18
59 31 14
60 31 16
61 30 17
62 28 20
63 27 20
64 31 17
65 25 22
66 27 19
67 31 17
68 30 17
69 28 20
70 28 21
71 27 18
72 33 16
73 27 20
74 30 16
75 26 21
76 26 21
77 24 24
78 25 19
79 32 17
80 25 21
81 28 19
82 27 21
83 29 18
84 31 17
85 26 22
86 27 21
87 29 15
88 32 16
89 28 19
90 29 18
91 27 20
92 26 22
93 28 19
94 25 22
95 34 14
96 31 17
97 30 18
98 30 18
99 29 16
