replicate pan_genome core_genome
0 28 16
1 30 15
2 29 16
3 26 21
4 32 17
5 31 18
6 26 21
7 28 19
8 26 20
9 23 21
10 28 20
11 25 20
12 27 21
13 27 19
14 28 17
15 25 20
16 30 15
17 24 21
18 30 17
19 32 16
20 27 19
21 27 19
22 25 21
23 33 15
24 32 15
25 26 20
26 32 16
27 30 17
28 25 21
29 25 21
30 28 17
31 28 18
32 22 24
33 22 23
34 31 14
35 27 18
36 24 21
37 30 16
38 27 17
39 28 21
40 23 21
41 22 22
42 27 20
43 31 16
44 25 22
45 28 19
46 28 17
47 31 17
48 22 21
49 25 18
50 30 19
51 28 18
52 23 21
53 29 19
54 23 23
55 27 19
56 31 15
57 27 18
58 30 14
59 28 19
60 25 21
61 33 15
62 30 17
63 31 18
64 28 17
65 26 19
66 28 19
67 29 19
68 28 17
69 35 13
70 30 16
71 30 17
72 29 17
73 29 20
74 27 21
75 30 17
76 33 13
77 29 18
78 31 16
79 28 19
80 29 16
81 26 20
82 27 16
83 28 18
84 26 21
85 27 21
86 24 21
87 28 19
88 30 15
89 28 19
90 28 18
91 26 20
92 26 21
93 24 21
94 24 22
95 29 18
96 28 19
97 28 17
98 27 19
99 30 18
