replicate pan_genome core_genome
0 26 23
1 29 18
2 25 21
3 28 20
4 24 22
5 26 22
6 26 21
7 28 20
8 27 21
9 28 20
10 27 21
11 22 24
12 20 27
13 26 22
14 23 24
15 27 21
16 24 22
17 25 19
18 28 20
19 26 22
20 20 25
21 26 23
22 28 21
23 24 21
24 27 21
25 28 18
26 23 22
27 25 18
28 24 23
29 23 23
30 24 22
31 25 22
32 25 22
33 26 19
34 20 26
35 28 20
36 28 20
37 22 26
38 24 23
39 28 19
40 30 18
41 22 26
42 24 24
43 23 24
44 24 23
45 27 20
46 24 22
47 28 21
48 23 26
49 24 23
50 28 20
51 25 24
52 21 25
53 27 21
54 23 26
55 26 22
56 26 21
57 27 21
58 25 23
59 20 24
60 27 21
61 29 20
62 25 23
63 22 25
64 22 22
65 25 22
66 23 22
67 22 24
68 26 22
69 23 23
70 26 22
71 28 20
72 23 24
73 27 22
74 26 22
75 25 22
76 26 23
77 24 24
78 28 21
79 23 24
80 28 20
81 21 25
82 21 25
83 24 22
84 27 20
85 27 22
86 26 23
87 29 19
88 25 24
89 28 20
90 23 22
91 21 27
92 27 21
93 22 21
94 30 18
95 24 20
96 24 24
97 25 23
98 23 24
99 23 23
